GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
license-maven-plugin-git,com.mycila.maven.plugin.license.git,CopyrightRangeProvider,50,158,4,8,10,31,4,13,0,11
license-maven-plugin-git,com.mycila.maven.plugin.license.git,GitPathResolver,0,62,0,6,0,14,0,7,0,4
license-maven-plugin-git,com.mycila.maven.plugin.license.git,CopyrightAuthorProvider,29,58,3,3,5,13,3,6,0,6
license-maven-plugin-git,com.mycila.maven.plugin.license.git,GitLookup,19,446,5,22,3,116,5,27,0,18
license-maven-plugin-git,com.mycila.maven.plugin.license.git,GitLookup.DateSource,0,15,0,0,0,2,0,1,0,1
